AUD,"15,397","15,661","16,283"
CAD,"17,366","17,638","18,255"
CHF,"26,702","27,062","27,698"
CNY, ,"3,040","3,470"
EUR,"25,706","26,012","27,043"
GBP,"29,637","30,010","30,942"
HKD, ,"2,896","3,099"
JPY,160.13,163.31,172.46
KRW, , ,22
SGD,"17,249","17,520","18,147"
THB,603,666,719
"USD (1,2)","23,422", , 
"USD (5,10,20)","23,466", , 
"USD (50,100)","23,490","23,500","23,840"
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
